"Part";"Value";"Device";"Package";"Description";"PARTNR";"POPULARITY";"SPICEPREFIX";"TOL";"VMAX";
"C6";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C7";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C8";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C9";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C10";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C11";"220u";"CPOL-EUF";"PANASONIC_F";"POLARIZED CAPACITOR, European symbol";"EEEFT1H221AP";"";"C";"";"50V";
"C12";"10u";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"C3225X5R1H106M250AB";"";"C";"";"50V";
"C13";"10u";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"C3225X5R1H106M250AB";"";"C";"";"50V";
"C15";"10u";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"C3225X5R1H106M250AB";"";"C";"";"50V";
"C16";"10u";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"C3225X5R1H106M250AB";"";"C";"";"50V";
"C17";"10u";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"C3225X5R1H106M250AB";"";"C";"";"50V";
"C18";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C19";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C20";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C21";"DNP";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"C";"";"";
"C22";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C23";"1800u";"CPOL-EUE10-35";"EB35D";"POLARIZED CAPACITOR, European symbol";"";"";"C";"";"250V";
"C24";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C25";"10u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
"C26";"1800u";"CPOL-EUE10-35";"EB35D";"POLARIZED CAPACITOR, European symbol";"";"";"C";"";"250V";
"C27";"100n";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"C";"";"";
