Comment,Designator,Footprint,LCSC Part #
0,R14,R1206,
0R008,R18,R1206,
1k,R1 R4 R12 R17,R0603,
8A slow,F1,1206,
10,R21 R22,R1206,
10M 0.5%,R19,R1206,
10k,R2 R11 R15,R0603,
10u,C12 C13 C15 C16 C17,C1210,
10u,C20 C24 C25,C0603,
24k9,R9 R13,R0603,
100n,C6 C7 C8 C9 C10 C18 C19 C22 C27,C0603,
120R,L2 L4 L5,L0603,
133k,R6 R8 R10 R20,R0603,
220u,C11,PANASONIC_F,
ADC122S051,IC3,MSOP8,
DA2034-AL,L3,DA2034-AL,
DF13-12P-1.25V,X1,DF13C-12P-1.25V,
DNP,C21,C0805,
DNP,R16,R0805,
ES3J,D1,SMC,
FAN3229TMX,IC8,SOIC8N,
FDS2582,Q1,SOIC8N,
IKB40N65ES5,Q2 Q3,D2PAK,
LT3751FE,IC7,TSSOP20P,
MBRB40250TG,D4 D5,D2PAK,
MCP1790,IC10,SOT223,
MCP6002,IC6,SOIC8N,
MCP9701A,IC4,SOT23,
SI8620EC-B-IS,IC1,SOIC8N,
SMBJ13CA,D2 D3,SMB,
gr,LED1,CHIP-LED0603,
rd,LED2,CHIP-LED0603,
