Designator,Mid X,Mid Y,Layer,Rotation
C6,26.35,13.65,Top,270.0
C7,30.48,10.16,Top,270.0
C8,-6.03,17.46,Top,0.0
C9,16.83, 2.86,Top,270.0
C10,16.83,-0.95,Top,270.0
C11, 4.70,10.07,Top,0.0
C12, 3.81, 2.86,Top,90.0
C13, 6.99, 2.86,Top,90.0
C15,-5.71, 2.86,Top,90.0
C16,-2.54, 2.86,Top,90.0
C17, 0.64, 2.86,Top,90.0
C18,24.77, 0.32,Top,270.0
C19, 9.21,19.21,Top,0.0
C20, 3.81,22.70,Top,0.0
C21,-6.83,13.02,Top,90.0
C22,27.62, 7.62,Top,90.0
C24,20.00,21.59,Top,0.0
C25,19.05,12.70,Top,0.0
C27,-3.49,-4.13,Top,270.0
D1,-34.77, 5.40,Top,90.0
D2, 4.13,-45.09,Top,180.0
D3,-4.13,-45.09,Top,0.0
D4,16.51,-11.43,Top,0.0
D5,-16.51,-11.43,Top,0.0
F1,10.48,25.72,Top,270.0
IC1,13.34, 0.95,Top,270.0
IC3,30.48,13.65,Top,270.0
IC4,-6.03,20.64,Top,0.0
IC6,23.97, 5.87,Top,270.0
IC7, 3.81,18.10,Top,90.0
IC8, 1.11,-3.81,Top,180.0
IC10,19.05,17.14,Top,270.0
L2,24.61,13.65,Top,270.0
L3,-18.41,11.75,Top,90.0
L4,27.62, 4.13,Top,270.0
L5,16.35,21.59,Top,180.0
LED1,35.24,17.14,Top,45.0
LED2,37.47,14.92,Top,225.0
Q1,-5.08,25.40,Top,180.0
Q2,12.07,-38.42,Top,270.0
Q3,-12.07,-38.42,Top,90.0
R1,32.70,10.16,Top,270.0
R2, 9.21,21.43,Top,180.0
R4,22.86, 0.32,Top,90.0
R6, 9.21,15.40,Top,180.0
R8, 9.21,17.62,Top,180.0
R9, 9.21,13.81,Top,0.0
R10,20.00, 7.62,Top,90.0
R11,18.10, 7.62,Top,270.0
R12,-1.59,16.99,Top,0.0
R13,-1.59,15.08,Top,180.0
R14,-1.43,20.48,Top,90.0
R15,-1.59,13.18,Top,180.0
R16,-6.83, 9.05,Top,270.0
R17,34.93,10.16,Top,270.0
R18, 2.22,25.40,Top,180.0
R19,20.00,-1.27,Top,270.0
R20,20.00, 2.86,Top,270.0
R21,-2.86,-7.94,Top,180.0
R22, 3.18,-7.94,Top,0.0
X1,22.54,25.88,Top,135.0
