"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2,C5";"CAPC3216X178N";2;"1uF";;;
2;"R2,R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"1k";;;
3;"R4,R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"5k1";;;
4;"L1";"INDPM7973X540N";1;"47uH";;;
5;"IN-1,IN+1";"MountingHole_2.5mm_Pad";2;"MountingHole_Pad";;;
6;"C7,C3";"CAPC1608X95N";2;"0u1F";;;
7;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1M";;;
8;"J1";"PinHeader_1x08_P1.27mm_Vertical";1;"Conn_01x08_Pin";;;
9;"R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"47k";;;
10;"C1";"CAPC3216X180N";1;"47nF";;;
11;"R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"22k";;;
12;"J2";"PinHeader_1x05_P1.27mm_Vertical";1;"Conn_01x05_Pin";;;
13;"C4";"CAPC6050X350N";1;">=10uF";;;
14;"IC1";"QFN50P500X700X100-41N-D";1;"MCT8316Z0TQRGFRQ1";;;
15;"C6";"CAPC6050X350N";1;"22uF";;;
