"Designator";"Footprint";"Comment";
"C2,C5";"CAPC3216X178N";"1uF";
"R2,R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";"1k";
"R4,R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";"5k1";
"L1";"INDPM7973X540N";"47uH";
"IN-1,IN+1";"MountingHole_2.5mm_Pad";"MountingHole_Pad";
"C7,C3";"CAPC1608X95N";"0u1F";
"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";"1M";
"J1";"PinHeader_1x08_P1.27mm_Vertical";"Conn_01x08_Pin";
"R6";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";"47k";
"C1";"CAPC3216X180N";"47nF";
"R7";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";"22k";
"J2";"PinHeader_1x05_P1.27mm_Vertical";"Conn_01x05_Pin";
"C4";"CAPC6050X350N";">=10uF";
"IC1";"QFN50P500X700X100-41N-D";"MCT8316Z0TQRGFRQ1";
"C6";"CAPC6050X350N";"22uF";
