"Reference","Value","Footprint","Qty","Digi-Key","Mfg Part #"
"R19","10M","Kicking Device v13b:R1206","1","541-10MBACT-ND",""
"C23,C26","1800u","Kicking Device v13b:EB35D","2","493-7224-ND",""
"C12,C13,C15,C16,C17","10u","Kicking Device v13b:C1210","5","1276-6736-2-ND","C3225X5R1H106M250AB"
"C11","220u","Kicking Device v13b:PANASONIC_F","1","PCE5025CT-ND","EEEFT1H221AP"
"R6,R8,R10,R20","133k","Kicking Device v13b:R0603","4","P133KDBCT-ND",""
"X1","DF13-12P-1.25V","Kicking Device v13b:DF13C-12P-1.25V","1","H121957CT-ND",""
"R21,R22","10","Kicking Device v13b:R1206","2","",""
"R18","0R008","Kicking Device v13b:R1206","1","RHM.008ALCT-ND",""
"R16","4R7","Kicking Device v13b:R0805","1","RHM4.7KCT-ND",""
"R14","24","Kicking Device v13b:R1206","1","",""
"R9,R13","24k9","Kicking Device v13b:R0603","2","P24.9KHCT-ND",""
"R2,R11,R15","10k","Kicking Device v13b:R0603","3","311-10.0KHRCT-ND ",""
"R1,R4,R12,R17","1k","Kicking Device v13b:R0603","4","311-1.00KHRCT-ND",""
"Q2,Q3","IKB40N65ES5","Kicking Device v13b:D2PAK","2","IKB40N65ES5ATMA1CT-ND",""
"Q1","FDS2582","Kicking Device v13b:SOIC8N","1","FDS2582CT-ND",""
"LED2","rd","Kicking Device v13b:CHIP-LED0603","1","732-4979-1-ND",""
"LED1","gr","Kicking Device v13b:CHIP-LED0603","1","732-4980-1-ND",""
"L3","DA2034-AL","Kicking Device v13b:DA2034-AL","1","","DA2034-AL"
"L2,L4,L5","120R","Kicking Device v13b:L0603","3","490-1037-1-ND",""
"IC10","MCP1790","Kicking Device v13b:SOT223","1","MCP1790-3302E/DB-ND",""
"IC8","FAN3229TMX","Kicking Device v13b:SOIC8N","1","FAN3229TMXCT-ND",""
"IC7","LT3751FE","Kicking Device v13b:TSSOP20P","1","LT3751EFE#PBF-ND",""
"IC6","MCP6002","Kicking Device v13b:SOIC8N","1","MCP6002T-I/SNCT-ND",""
"IC4","MCP9701A","Kicking Device v13b:SOT23","1","MCP9701AT-E/TTCT-ND",""
"IC3","ADC122S051","Kicking Device v13b:MSOP8","1","ADC122S051CIMM/NOPBCT-ND",""
"IC1","SI8620EC-B-IS","Kicking Device v13b:SOIC8N","1","336-2062-5-ND",""
"F1","8A slow","Kicking Device v13b:1206","1","507-1194-1-ND",""
"D4,D5","MBRB40250TG","Kicking Device v13b:D2PAK","2","MBRB40250TGOS-ND",""
"D2,D3","SMBJ13CA","Kicking Device v13b:SMB","2","SMBJ13CA-FDICT-ND",""
"D1","ES3J","Kicking Device v13b:SMC","1","ES3JCT-ND",""
"C21","10n","Kicking Device v13b:C0805","1","",""
"C20,C24,C25","10u","Kicking Device v13b:C0603","3","490-12737-1-ND",""
"C6,C7,C8,C9,C10,C18,C19,C22,C27","100n","Kicking Device v13b:C0603","9","1292-1397-1-ND",""
