Designator,Mid X,Mid Y,Rotation,Layer
BAT1,15.7,-44.2,90.0,bottom
BUZZER1,26.47,-73.2,90.0,top
BZ1,51.0,39.8,90.0,top
C1_1,-68.25,-10.0,0.0,top
C1_2,-20.295,-68.86,90.0,bottom
C1_3,67.55,12.15,180.0,top
C1_I1,2.1381,0.0013,90.0,top
C1_R1,47.275,-41.75,270.0,top
C2_1,-56.5,10.5,270.0,top
C2_2,0.455,-56.86,0.0,bottom
C2_3,55.849999,-9.15,90.0,top
C2_I1,0.1881,2.4513,180.0,top
C2_R1,44.725,-41.75,270.0,top
CN11,30.47,9.189999,180.0,top
CN12,-30.48,9.19,180.0,top
D1,-59.13,-9.02,270.0,top
D2,-19.345001,-59.700001,0.0,bottom
D3,58.149999,10.929999,90.0,top
D4,-4.9,43.8,0.0,bottom
DRIBBLER1,-6.93,52.8,270.0,bottom
IR1,30.5,60.0,0.0,bottom
IR2,-30.25,60.0,0.0,bottom
J1,1.7666,-37.6161,180.0,bottom
J_RF1,56.385,-41.43,90.0,top
L1,-47.93,-3.549999,90.0,top
L2,-13.1,-47.949999,180.0,bottom
L3,46.95,4.75,270.0,top
LED1,13.8,-76.9,90.0,top
LED2,19.8,-76.9,270.0,top
LED3,0.75,-76.85,90.0,top
LED4,6.5,-76.85,270.0,top
M1,51.79,29.73,270.0,bottom
M2,-54.89,30.93,270.0,bottom
M3,-54.61,-28.53,90.0,bottom
M4,51.94,-29.73,90.0,bottom
MH1,53.0,53.0,0.0,top
MH2,53.0,-53.0,0.0,top
MH3,-53.0,-53.0,0.0,top
MH4,-53.0,53.0,0.0,top
MH_11,63.845,30.925,0.0,top
MH_21,-42.83,32.125,0.0,top
MH_22,-66.85,11.15,0.0,top
MH_31,-66.670001,-29.725,180.0,top
MH_41,63.88,-9.925,180.0,top
MH_42,39.879999,-30.925,180.0,top
NM1,-24.16,-37.76,0.0,top
NM2,-8.82,13.04,0.0,top
NM3,-22.85,37.14,0.0,top
NM4,22.85,37.14,0.0,top
Q1,2.775,48.255,0.0,bottom
Q2,-9.6,-36.0,90.0,bottom
R1_I1,-2.9852,-1.7717,90.0,top
R2_I1,-2.985199,1.276301,270.0,top
R3,16.8,-77.9,180.0,top
R4,16.8,-75.9,0.0,top
R5,3.5,-77.6,180.0,top
R6,3.5,-75.85,0.0,top
R7,-35.0,58.5,90.0,top
RK1,-5.1,-35.2,90.0,top
RK10,2.4,-33.2,270.0,top
RK11,-7.4,-39.0,180.0,top
RK12,-2.6,-35.2,90.0,top
RK13,2.5,-39.2,0.0,top
RK5,-0.1,-35.2,90.0,top
RK6,1.2,-35.2,90.0,top
RK7,2.4,-35.2,90.0,top
RK8,3.6,-35.2,90.0,top
RK9,1.2,-33.2,270.0,top
SW1,32.3,-56.4,90.0,bottom
U1,-73.53,1.95,180.0,top
U2,-8.165,-73.64,270.0,bottom
U3,72.25,0.25,0.0,top
U4,0.0,0.0,90.0,top
