Designator,Mid X,Mid Y,Rotation,Layer
C1,131.064,-117.348,180,top
C2,132.842,-120.65,270,top
C3,150.47,-84.63,0,top
C4,150.47,-87.25,0,top
J2,120.777,-90.175,270,top
J7,158.775,-78.725,0,bottom
J8,113.035,-88.905,0,bottom
J9,113.035,-121.915,0,bottom
J_RF1,145.171,-79.99,270,top
L1,152.4,-132.08,90,top
L2,142.24,-132.08,90,top
L3,132.08,-132.08,90,top
L4,121.92,-132.08,90,top
R1,127.8187,-121.4057,90,top
R2,127.8187,-118.3577,270,top
R3,154.051001,-132.016,270,top
R4,143.891,-132.143,270,top
R5,133.731,-132.06725,270,top
R6,123.571002,-132.131249,270,top
U1,130.8039,-119.634,90,top
